seller_id,seller_city,seller_state,supplier_rating,lead_time_days,supplier_status
3504c0cb71d7fa48d967e0e4c94d59d9,maua,SP,4.4,2,Preferred
289cdb325fb7e7f891c38608bf9e0962,belo horizonte,SP,4.6,2,Preferred
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,4.1,12,Standard
66922902710d126a0e7d26b0e3805106,belo horizonte,MG,4.5,6,Preferred
2c9e548be18521d1c43cde1c582c6de8,mogi das cruzes,SP,3.9,6,Preferred
8581055ce74af1daba164fdbd55a40de,guarulhos,SP,4.2,8,Standard
dc8798cbf453b7e0f98745e396cc5616,sao paulo,SP,3.1,3,Preferred
16090f2ca825584b5a147ab24aa30c86,atibaia,SP,4.0,7,Preferred
63b9ae557efed31d1f7687917d248a8d,sao jose do rio pardo,SP,4.4,3,Preferred
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,3.4,14,Standard
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,3.9,11,Standard
87142160b41353c4e5fca2360caf6f92,porto alegre,RS,4.4,6,Preferred
094ced053e257ae8cae57205592d6712,ribeirao preto,SP,4.1,5,Preferred
1900267e848ceeba8fa32d80c1a5f5a8,ibitinga,SP,3.9,12,Standard
0bae85eb84b9fb3bd773911e89288d54,itajai,SP,4.2,11,Standard
89a51f50b8095ea78d5768f34c13a76f,brasilia,DF,4.7,6,Preferred
c4af86330efa7a2620772227d2d670c9,mogi das cruzes,SP,4.3,3,Preferred
ea8482cd71df3c1969d7b9473ff13abc,sao paulo,SP,4.0,9,Standard
d2374cbcbb3ca4ab1086534108cc3ab7,ibitinga,SP,3.6,9,Standard
70a12e78e608ac31179aea7f8422044b,jacarei,SP,3.8,7,Preferred
633ecdf879b94b5337cca303328e4a25,sao paulo,SP,1.8,4,Preferred
cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,4.1,5,Preferred
8b321bb669392f5163d04c59e235e066,sao paulo,SP,4.0,2,Preferred
855668e0971d4dfd7bef1b6a4133b41b,itatiba,SP,3.7,10,Standard
55c26bcb609f480eb7868594245febb5,tabatinga,SP,4.0,11,Standard
c0563dd588b775f2e37747ef6ad6c92c,santo andre,SP,4.4,6,Preferred
977f9f63dd360c2a32ece2f93ad6d306,tabatinga,SP,3.8,9,Standard
d673a59aac7a70d8b01e6902bf090a11,ibitinga,SP,3.9,4,Preferred
d3f39f05462b79a4562d35893a28f159,mococa,SP,3.4,5,Preferred
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,4.0,5,Preferred
f7720c4fa8e3aba4546301ab80ea1f1b,curitiba,PR,4.2,9,Standard
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,4.0,13,Standard
d91fb3b7d041e83b64a00a3edfb37e4f,praia grande,SP,4.1,10,Standard
77530e9772f57a62c906e1c21538ab82,curitiba,PR,4.1,4,Preferred
ba5daa4041e1f15cdf34b76e3e18a450,sao paulo,SP,4.3,8,Standard
fe2032dab1a61af8794248c8196565c9,campinas,SP,4.4,10,Standard
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,4.1,3,Preferred
f27e33c6d29b5138fa9967bcd445b6d5,sao paulo,SP,4.1,5,Preferred
85d9eb9ddc5d00ca9336a2219c97bb13,belo horizonte,MG,4.2,4,Preferred
a5cba26a62b8b4d0145b68b841e62e7f,campo mourao,PR,4.5,9,Standard
a1043bafd471dff536d0c462352beb48,ilicinea,MG,4.2,5,Preferred
f5f46307a4d15880ca14fab4ad9dfc9b,rio do sul,SC,4.1,10,Standard
a3a38f4affed601eb87a97788c949667,joinville,SC,4.4,2,Preferred
980640c45d7a4635885491d077167e4d,rio claro,SP,4.6,2,Preferred
e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,4.2,5,Preferred
f8db351d8c4c4c22c6835c19a46f01b0,salto,SP,4.2,4,Preferred
f52c2422904463fdd7741f99045fecb6,santo andre/sao paulo,SP,4.3,4,Preferred
669ae81880e08f269a64487cfb287169,rio do sul,SC,4.1,11,Standard
6860153b69cc696d5dcfe1cdaaafcf62,capivari,SP,4.2,13,Standard
33cbbec1e7e1044aaf11d152172c776f,bento goncalves,RS,4.7,3,Preferred
f7ba60f8c3f99e7ee4042fdef03b70c4,sao bernardo do campo,SP,4.2,11,Standard
b33e7c55446eabf8fe1a42d037ac7d6d,pradopolis,SP,4.2,11,Standard
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,3.9,3,Preferred
ef0ace09169ac090589d85746e3e036f,sao goncalo,RJ,4.3,9,Standard
d1ef48b38baca7e831711c4a0aeb398f,apucarana,PR,4.4,2,Preferred
db4350fd57ae30082dec7acbaacc17f9,sao paulo,SP,4.1,9,Standard
391fc6631aebcf3004804e51b40bcf1e,ibitinga,SP,3.9,11,Standard
80e6699fe29150b372a0c8a1ebf7dcc8,pinhais,PR,4.4,4,Preferred
a673821011d0cec28146ea42f5ab767f,sao paulo,SP,3.9,3,Preferred
70125af26c2d6d4ef401a1d02ae7701f,goiania,GO,4.6,10,Standard
5b925e1d006e9476d738aa200751b73b,sao paulo,SP,4.6,6,Preferred
2a84855fd20af891be03bc5924d2b453,belo horizonte,MG,4.2,6,Preferred
76d64c4aca3a7baf218bf93ef7fa768d,curitiba,PR,4.1,14,Standard
5656537e588803a555b8eb41f07a944b,brasilia,DF,3.8,7,Preferred
817245bcc3badd82bbd222e0366951a6,bauru,SP,4.1,5,Preferred
fcdd820084f17e9982427971e4e9d47f,ribeirao preto,SP,3.3,8,Standard
537eb890efff034a88679788b647c564,rio de janeiro,RJ,4.1,8,Standard
f84a00e60c73a49e7e851c9bdca3a5bb,rio de janeiro,RJ,3.7,12,Standard
c8417879a15366a17c30af34c798c332,sao paulo,SP,4.0,10,Standard
744dac408745240a2c2528fb1b6028f3,colombo,PR,4.5,7,Preferred
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,3.9,14,Standard
1ca7077d890b907f89be8c954a02686a,santana de parnaiba,SP,2.2,2,Preferred
6df688df543f90e9b38f4319e75a9d88,belo horizonte,MG,4.5,10,Standard
3b15288545f8928d3e65a8f949a28291,ibitinga,SP,3.8,13,Standard
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,3.8,14,Standard
76d5af76d0271110f9af36c92573f765,sao paulo,SP,4.1,11,Standard
4c8b8048e33af2bf94f2eb547746a916,ibitinga,SP,3.1,10,Standard
00fc707aaaad2d31347cf883cd2dfe10,maringa,PR,3.7,6,Preferred
a6fe7de3d16f6149ffe280349a8535a0,franca,SP,4.1,8,Standard
e5a38146df062edaf55c38afa99e42dc,sao paulo,SP,3.9,2,Preferred
